"key","message","comment","context"
"Import","استيراد",,"resources\views\GestionEauElectricite.xml:114
resources\views\GestionEauElectricite.xml:116
resources\views\GestionEauElectricite.xml:130
resources\views\GestionEauElectricite.xml:132
resources\views\GestionEauElectricite.xml:144
resources\views\GestionEauElectricite.xml:146
resources\views\GestionEauElectricite.xml:161
resources\views\GestionEauElectricite.xml:163
resources\views\GestionEauElectricite.xml:311
resources\views\GestionEauElectricite.xml:322
resources\views\GestionEauElectricite.xml:333
resources\views\GestionEauElectricite.xml:344"
"Import/Export/Consommation/Eau","تصدير استيراد استهلاك الماء",,"resources\views\GestionEauElectricite.xml:107"
"Import/Export/Control/Eau","تصدير استيراد مراقبة الماء",,"resources\views\GestionEauElectricite.xml:121"
"Import/Export/Électricité","تصدير واستيراد استهلاك الكهرباء",,"resources\views\GestionEauElectricite.xml:137
resources\views\GestionEauElectricite.xml:151"
"InfoEauElectricite","معلومات",,"resources\views\GestionEauElectricite.xml:18
resources\views\GestionEauElectricite.xml:7"
"Information","معلومات",,"java\com\eau\electricite\web\GestionEauElectriciteController.java:122
java\com\eau\electricite\web\GestionEauElectriciteController.java:154
java\com\eau\electricite\web\GestionEauElectriciteController.java:186
java\com\eau\electricite\web\GestionEauElectriciteController.java:58
java\com\eau\electricite\web\GestionEauElectriciteController.java:90"
"Internat","داخلية",,"resources\domains\GestionEauElectricite.xml:17"
"LES PARAMETRES","الإعدادات",,"resources\views\Menu.xml:54
resources\views\Menu.xml:62
resources\views\Menu.xml:63"
"Liste Controle de consommation","لائحة مراقبة الاستهلاك",,"resources\views\ControleEau.xml:6
resources\views\ControleElectricite.xml:16
resources\views\ControleElectricite.xml:7"
"Liste consommation","لائحة الاستهلاك",,"resources\views\ConsommationEau.xml:7
resources\views\ConsommationElectricite.xml:7"
"Logo En Tete",,,"resources\domains\GestionEauElectricite.xml:28"
"Max size 4MB.",,,"resources\domains\ControleEau.xml:10
resources\domains\ControleElectricite.xml:10"
"Montant de consommation","المبلغ",,"resources\domains\ConsommationEau.xml:12
resources\domains\ConsommationElectricite.xml:12"
"N eleves","عدد التلاميذ",,"java\com\eau\electricite\service\ControlElectriciteService.java:102
java\com\eau\electricite\service\ControleEauService.java:102"
"Nom Etablissemnt","اسم المءسسة",,"java\com\eau\electricite\service\ConsommationEauService.java:71
java\com\eau\electricite\service\ConsommationElectriciteService.java:71
java\com\eau\electricite\service\ControlElectriciteService.java:73
java\com\eau\electricite\service\ControleEauService.java:73"
"N° de contrat d'eau","رقم عقدة المياء",,"resources\domains\GestionEauElectricite.xml:10"
"N° de contrat d'électricité","رقم عقدة الكهرباء",,"resources\domains\GestionEauElectricite.xml:11"
"Nآ°",,,"java\com\eau\electricite\service\ConsommationEauService.java:68
java\com\eau\electricite\service\ConsommationElectriciteService.java:68
java\com\eau\electricite\service\ControlElectriciteService.java:70
java\com\eau\electricite\service\ControleEauService.java:70"
"Nآ° Compteur Eau",,,"java\com\eau\electricite\service\ControleEauService.java:105"
