"key","message","comment","context"
"RoomFet",,,"resources\views\ResultatFet.xml:60"
"Résultats",,,"resources\views\DossierImportFet.xml:18"
"SAMEDI",,,"java\com\emploi\temps\web\IReport.java:48"
"Student fet",,,"resources\domains\StudentDossier.xml:17"
"StudentFet",,,"resources\views\ResultatFet.xml:78"
"Students Dossier",,,"resources\domains\DossierImportFet.xml:20"
"SubjectFet",,,"resources\views\ResultatFet.xml:66"
"Sélectionner la liste",,,"resources\views\DossierImportFet.xml:106
resources\views\DossierImportFet.xml:26"
"Table Service",,,"resources\domains\TeacherDossier.xml:8"
"Table service des professeur par Jour",,,"java\com\emploi\temps\web\DossierImportFetController.java:156"
"Tables services des Professeurs",,,"java\com\emploi\temps\web\DossierImportFetController.java:90"
"Teacher fet",,,"resources\domains\TeacherDossier.xml:13"
"TeacherFet",,,"resources\views\ResultatFet.xml:72"
"Teaches Dossier",,,"resources\domains\DossierImportFet.xml:18"
"Telecharge",,,"resources\views\DossierImportFet.xml:10"
"Telecharger",,,"resources\views\DossierImportFet.xml:109
resources\views\DossierImportFet.xml:29"
"Toutes les salles sont disponibles",,,"java\com\emploi\temps\service\DossierImportFetService.java:1085"
"VENDREDI",,,"java\com\emploi\temps\web\IReport.java:47"
"WORD",,,"resources\views\DossierImportFet.xml:157"
"aucune salle  disponible",,,"java\com\emploi\temps\service\DossierImportFetService.java:1084"
"classe",,,"resources\domains\ActivityResulteFet.xml:13
resources\domains\StudentFet.xml:8
resources\views\DossierImportFet.xml:50
resources\views\DossierImportFet.xml:84"
"classe ds Fet",,,"resources\domains\StudentFet.xml:9"
"classes",,,"java\com\emploi\temps\service\ExportEmpoiExcel.java:146
java\com\emploi\temps\service\ExportEmpoiExcel.java:166
resources\domains\TeacherDossier.xml:9"
"daysFet",,,"resources\views\DossierImportFet.xml:111
resources\views\DossierImportFet.xml:31
resources\views\ResultatFet.xml:48"
"dossiers",,,"resources\views\ResultatFet.xml:13"
"durée",,,"resources\domains\ActivityResulteFet.xml:9"
"emploi temps eleves collectif(1/1)",,,"resources\views\DossierImportFet.xml:169"
"emploi temps eleves individuelle(1/1 prof)",,,"resources\views\DossierImportFet.xml:170"
"emploi temps eleves individuelle(1/1)",,,"resources\views\DossierImportFet.xml:166"
"emploi temps eleves individuelle(2/1)",,,"resources\views\DossierImportFet.xml:167"
"emploi temps eleves individuelle(3/1)",,,"resources\views\DossierImportFet.xml:168"
"emploi temps salles individuelle(3/1)",,,"resources\views\DossierImportFet.xml:172"
"fichiers FET",,,"resources\views\ResultatFet.xml:29"
"find",,,"resources\views\DossierImportFet.xml:38
resources\views\DossierImportFet.xml:72"
"heur",,,"resources\domains\HourFet.xml:8"
"heur ds Fet",,,"resources\domains\DayHourFet.xml:10
resources\domains\HourFet.xml:9
resources\views\DayHourFet.xml:10"
"heurs",,,"resources\domains\DossierImportFet.xml:17"
"hex color",,,"resources\domains\StudentFet.xml:10
resources\domains\TeacherFet.xml:11"
"id",,,"resources\domains\ActivityResulteFet.xml:8
resources\domains\StudentDossier.xml:12"
"id class",,,"resources\domains\StudentDossier.xml:15"
"id groupe",,,"resources\domains\StudentDossier.xml:16"
"id niveau",,,"resources\domains\StudentDossier.xml:14"
"id parent",,,"resources\domains\StudentDossier.xml:13"
"imprimer/modifier",,,"resources\views\DossierImportFet.xml:100
resources\views\DossierImportFet.xml:20"
"jour",,,"resources\domains\DayFet.xml:8"
"jour ds Fet",,,"resources\domains\DayFet.xml:9
resources\domains\DayHourFet.xml:9
resources\views\DayHourFet.xml:9"
"jour réel",,,"resources\domains\DayHourFet.xml:12
resources\views\DayHourFet.xml:11"
"jours",,,"resources\domains\DossierImportFet.xml:16"
"jours-heur",,,"resources\domains\ResultatFet.xml:9"
"la Table des salles Libre",,,"resources\views\DossierImportFet.xml:175"
"la table des salles disponible",,,"java\com\emploi\temps\web\DossierImportFetController.java:201"
"ltr",,,"java\com\emploi\temps\service\DossierImportFetService.java:335
java\com\emploi\temps\service\DossierImportFetService.java:35
java\com\emploi\temps\service\DossierImportFetService.java:658
java\com\emploi\temps\service\DossierImportFetService.java:782
java\com\emploi\temps\service\ExportEmpoiExcel.java:71
java\com\emploi\temps\web\IReport.java:37"
"matiere",,,"resources\domains\SubjectFet.xml:8"
"matiere ds Fet",,,"resources\domains\SubjectFet.xml:9"
"matieres",,,"resources\domains\TeacherDossier.xml:10"
"matiers",,,"resources\domains\ResultatFet.xml:11"
"matière",,,"resources\domains\ActivityResulteFet.xml:15"
"nom Reel",,,"resources\domains\RoomDossier.xml:10
resources\domains\StudentDossier.xml:11"
"nom ds Fet",,,"resources\domains\RoomDossier.xml:9
resources\domains\StudentDossier.xml:10
resources\domains\TeacherDossier.xml:11"
"order",,,"resources\domains\DayFet.xml:10
resources\domains\DayHourFet.xml:11
resources\domains\HourFet.xml:10
resources\views\DayHourFet.xml:8"
"professeur",,,"resources\domains\ActivityResulteFet.xml:16
resources\domains\TeacherFet.xml:8
resources\views\DossierImportFet.xml:44
resources\views\DossierImportFet.xml:78"
"professeur ds Fet",,,"resources\domains\TeacherFet.xml:9"
"professeurs",,,"java\com\emploi\temps\service\ExportEmpoiExcel.java:145
java\com\emploi\temps\service\ExportEmpoiExcel.java:165
resources\domains\ResultatFet.xml:12
resources\domains\StudentDossier.xml:9"
"reselta",,,"resources\views\DossierImportFet.xml:59
resources\views\DossierImportFet.xml:93"
"salle",,,"resources\domains\ActivityResulteFet.xml:12
resources\domains\RoomFet.xml:8
resources\views\DossierImportFet.xml:56
resources\views\DossierImportFet.xml:90"
"salle ds Fet",,,"resources\domains\RoomFet.xml:9"
"salles",,,"java\com\emploi\temps\service\ExportEmpoiExcel.java:147
java\com\emploi\temps\service\ExportEmpoiExcel.java:167
resources\domains\ResultatFet.xml:13"
"salles Dossier",,,"resources\domains\DossierImportFet.xml:19"
"séance réel",,,"resources\domains\DayHourFet.xml:13
resources\views\DayHourFet.xml:12"
"table services profs collectif(1/1)",,,"resources\views\DossierImportFet.xml:164"
"table services profs individuelle(1/1)",,,"resources\views\DossierImportFet.xml:161"
"table services profs individuelle(2/1)",,,"resources\views\DossierImportFet.xml:162"
"table services profs individuelle(3/1)",,,"resources\views\DossierImportFet.xml:163"
"table services profs par jour",,,"resources\views\DossierImportFet.xml:165"
"َemploi temps eleves par jour",,,"resources\views\DossierImportFet.xml:171"
"َemploi temps salles collectif(1/1)",,,"resources\views\DossierImportFet.xml:173"
"َemploi temps salles par jour",,,"resources\views\DossierImportFet.xml:174"
