"key","message","comment","context"
"MERCREDI","الأربعاء",,"java\com\emploi\temps\web\IReport.java:45"
"Matin","الفترة الصباحية",,"java\com\emploi\temps\service\DossierImportFetService.java:366
java\com\emploi\temps\service\DossierImportFetService.java:66
java\com\emploi\temps\service\ExportEmpoiExcel.java:217"
"Modifier table service",,,"resources\views\DossierImportFet.xml:121"
"Name",,,"resources\domains\DossierImportFet.xml:8
resources\domains\ResultatFet.xml:8"
"Nom court","الاسم القصير",,"resources\domains\SubjectFet.xml:10"
"Nom fichier","اسم الملف",,"resources\domains\DossierImportFet.xml:15"
"Nombre Globale","العدد الإجمالي",,"java\com\emploi\temps\web\IReport.java:56"
"Numero","رت",,"resources\domains\RoomFet.xml:10"
"PDF","PDF",,"resources\views\DossierImportFet.xml:155"
"Resultat fet","نتائج FET",,"resources\domains\DayHourFet.xml:15
resources\domains\DossierImportFet.xml:29
resources\domains\RoomFet.xml:11
resources\domains\StudentFet.xml:11
resources\domains\SubjectFet.xml:11
resources\domains\TeacherFet.xml:12"
"Room fet","القاعة FET",,"resources\domains\RoomDossier.xml:12"
"RoomFet","القاعة FET",,"resources\views\ResultatFet.xml:60"
"Résultats","النتائج",,"resources\views\DossierImportFet.xml:18"
"SAMEDI","السبت",,"java\com\emploi\temps\web\IReport.java:48"
"Student fet","القسم FET",,"resources\domains\StudentDossier.xml:17"
"StudentFet","القسم FET",,"resources\views\ResultatFet.xml:78"
"Students Dossier","اقسام الملف",,"resources\domains\DossierImportFet.xml:20"
"SubjectFet","المادة FET",,"resources\views\ResultatFet.xml:66"
"Sélectionner la liste","اختر من اللائحة",,"resources\views\DossierImportFet.xml:106
resources\views\DossierImportFet.xml:26"
"Table Service","جدول الحصص",,"resources\domains\TeacherDossier.xml:8"
"Table service des professeur par Jour","جداول الحصص للاساتذة حسب الايام",,"java\com\emploi\temps\web\DossierImportFetController.java:156"
"Tables services des Professeurs","جداول الحصص للأساتذة",,"java\com\emploi\temps\web\DossierImportFetController.java:90"
"Teacher fet","المدرس FET",,"resources\domains\TeacherDossier.xml:13"
"TeacherFet","المدرس FET",,"resources\views\ResultatFet.xml:72"
"Teaches Dossier","المدرس",,"resources\domains\DossierImportFet.xml:18"
"Telecharge",,,"resources\views\DossierImportFet.xml:10"
"Telecharger","تحميل",,"resources\views\DossierImportFet.xml:109
resources\views\DossierImportFet.xml:29"
"Toutes les salles sont disponibles","جميع القاعات شاغرة",,"java\com\emploi\temps\service\DossierImportFetService.java:1085"
"VENDREDI","الجمعة",,"java\com\emploi\temps\web\IReport.java:47"
"WORD","WORD",,"resources\views\DossierImportFet.xml:157"
"aucune salle  disponible","لا توجد قاعة شاغرة",,"java\com\emploi\temps\service\DossierImportFetService.java:1084"
"classe","القسم",,"resources\domains\ActivityResulteFet.xml:13
resources\domains\StudentFet.xml:8
resources\views\DossierImportFet.xml:50
resources\views\DossierImportFet.xml:84"
"classe ds Fet","القسم FET",,"resources\domains\StudentFet.xml:9"
"classes","الاقسام",,"java\com\emploi\temps\service\ExportEmpoiExcel.java:146
java\com\emploi\temps\service\ExportEmpoiExcel.java:166
resources\domains\TeacherDossier.xml:9"
"daysFet","الايام FET",,"resources\views\DossierImportFet.xml:111
resources\views\DossierImportFet.xml:31
resources\views\ResultatFet.xml:48"
"dossiers","الملفات",,"resources\views\ResultatFet.xml:13"
"durée","مدة",,"resources\domains\ActivityResulteFet.xml:9"
"emploi temps eleves collectif(1/1)","استعمال الزمن الاجمالي للاقسام(1/1)",,"resources\views\DossierImportFet.xml:169"
"emploi temps eleves individuelle(1/1 prof)",,,"resources\views\DossierImportFet.xml:170"
"emploi temps eleves individuelle(1/1)","استعمال الزمن حسب القسم(1/1)",,"resources\views\DossierImportFet.xml:166"
"emploi temps eleves individuelle(2/1)","استعمال الزمن حسب القسم(2/1)",,"resources\views\DossierImportFet.xml:167"
"emploi temps eleves individuelle(3/1)","استعمال الزمن حسب القسم(3/1)",,"resources\views\DossierImportFet.xml:168"
"emploi temps salles individuelle(3/1)","استعمال الزمن حسب القاعة(3/1)",,"resources\views\DossierImportFet.xml:172"
"fichiers FET","ملفات FET",,"resources\views\ResultatFet.xml:29"
"find","بحث",,"resources\views\DossierImportFet.xml:38
resources\views\DossierImportFet.xml:72"
"heur","الساعة",,"resources\domains\HourFet.xml:8"
"heur ds Fet","الساعة FET",,"resources\domains\DayHourFet.xml:10
resources\domains\HourFet.xml:9
resources\views\DayHourFet.xml:10"
"heurs","الساعات",,"resources\domains\DossierImportFet.xml:17"
"hex color","اللون",,"resources\domains\StudentFet.xml:10
resources\domains\TeacherFet.xml:11"
"id","رت",,"resources\domains\ActivityResulteFet.xml:8
resources\domains\StudentDossier.xml:12"
"id class","رقم القسم",,"resources\domains\StudentDossier.xml:15"
"id groupe","رقم المجموعة",,"resources\domains\StudentDossier.xml:16"
"id niveau","رقم المستوى",,"resources\domains\StudentDossier.xml:14"
"id parent","رت الاب",,"resources\domains\StudentDossier.xml:13"
"imprimer/modifier","طباعة /تعديل",,"resources\views\DossierImportFet.xml:100
resources\views\DossierImportFet.xml:20"
"jour","اليوم",,"resources\domains\DayFet.xml:8"
"jour ds Fet","اليوم FET",,"resources\domains\DayFet.xml:9
resources\domains\DayHourFet.xml:9
resources\views\DayHourFet.xml:9"
"jour réel","اليوم الحقيقي",,"resources\domains\DayHourFet.xml:12
resources\views\DayHourFet.xml:11"
"jours","الايام",,"resources\domains\DossierImportFet.xml:16"
"jours-heur","الايام-الحصص",,"resources\domains\ResultatFet.xml:9"
"la Table des salles Libre","جدول القاعات الشاغرة",,"resources\views\DossierImportFet.xml:175"
