name;description
role.hakibati.eau.electricite.read;role.hakibati.eau.electricite.read
role.hakibati.eau.electricite.write;role.hakibati.eau.electricite.write
role.hakibati.eau.electricite.delete;role.hakibati.eau.electricite.delete
