name;description
role.hakibati.emploi.temps.read;role.hakibati.emploi.temps.read
role.hakibati.emploi.temps.write;role.hakibati.emploi.temps.write
role.hakibati.emploi.temps.delete;role.hakibati.emploi.temps.delete
