code;name;namear;language;key
1;Surveillance;مراقـــب(ة);ar;value:Surveillance
2;Membre du secrétariat;عضو كتابة الامتحان;ar;value:Membre du secrétariat
3;Chef du centre;رئيس(ة) مركز الامتحان;ar;value:Chef du centre
4;Observateur;ملاحـــــــــظ(ة);ar;value:Observateur
5;Sécurité;الأمـــــــن;ar;value:Sécurité
6;Nettoyage;النظـــــافة;ar;value:Nettoyage


