code;name;namear;language;key
1;Primaire;الابتدائي;ar;value:Primaire
2;Collégial;الإعدادي;ar;value:Collégial
3;Qualifiant;التأهيلي;ar;value:Qualifiant
0;sans;بدون;ar;value:sans
