"key","message","comment","context"
"Les Types de Sexe","نوع الجنس",,"resources\views\Menu.xml:35
resources\views\Menu.xml:36"
"Les Utilisateurs","المستخدمون",,"java\com\setting\service\EtablissementService.java:126
resources\domains\Etablissement.xml:23
resources\domains\UserEtablissement.xml:12
resources\views\Etablissement.xml:20"
"Les contrainte","القيد",,"resources\domains\ListContraint.xml:11"
"Les etablissements","المؤسسات",,"resources\views\Menu.xml:17
resources\views\Menu.xml:18"
"Les observations","ملاحظات",,"resources\views\Menu.xml:79"
"Les opérations","العمليات",,"resources\views\Menu.xml:74"
"Les permissions etablissement","صلاحيات المؤسسة",,"resources\domains\Etablissement.xml:25"
"List contraint","لائحة القيود",,"resources\views\ListContraint.xml:12
resources\views\ListContraint.xml:6"
"Liste Des Utilisateurs","لائحة المستخدمين",,"resources\views\Etablissement.xml:100
resources\views\Etablissement.xml:26"
"Logo En Tete","رأس اللوكو",,"resources\domains\Etablissement.xml:22
resources\views\Etablissement.xml:49"
"Mes Etablissements","مؤسساتي",,"resources\views\User.xml:27
resources\views\User.xml:53"
"Mes etablissements?","?مؤسساتي",,"resources\views\User.xml:26
resources\views\User.xml:52"
"Name","الاسم",,"resources\domains\Cycle.xml:8
resources\domains\FonctionExaman.xml:9
resources\domains\ListContraint.xml:9
resources\domains\RegistreObservation.xml:8
resources\domains\RoleDescribe.xml:8
resources\domains\Sexe.xml:8"
"New password","كلمة مرور جديدة",,"resources\views\User.xml:22"
"No such template","لا يوجد مثل هذا القالب",,"java\com\setting\service\report\IExceptionMessage.java:17"
"Nom De Academie","اسم الاكاديمة",,"resources\views\User.xml:67"
"Nom De Commun","اسم الجماعة",,"resources\views\User.xml:65"
"Nom De Direction","اسم المديرية",,"resources\views\User.xml:66"
"Nom De Etablissement","إسم المؤسسة",,"resources\views\User.xml:64"
"Nom Etablissement",,,"java\com\setting\service\EtablissementService.java:123"
"Non","لا",,"resources\views\Etablissement.xml:170"
"Nouvelle Observation","ملاحظة جديدة",,"resources\views\Menu.xml:72"
"Number de test",,,"resources\domains\ActivationUser.xml:11"
"Numero","الرقم",,"resources\domains\Etablissement.xml:9"
"Nآ° Etablissement",,,"java\com\setting\service\EtablissementService.java:120"
"Observation","ملاحظات",,"java\com\setting\service\EtablissementService.java:140
resources\domains\EtablissementRolsDescribe.xml:10
resources\domains\RegistreObservation.xml:13"
"Ou créer une nouvelle établissement","او قم بانشاء مؤسسة جديدة",,"resources\views\User.xml:47"
"Oui","نعم",,"resources\views\Etablissement.xml:169"
"Overview","Général","عامة","resources\views\Cycle.xml:12
resources\views\Etablissement.xml:41
resources\views\Etablissement.xml:87
resources\views\EtablissementRoleDescribe.xml:14
resources\views\FonctionExaman.xml:12
resources\views\User.xml:63"
"Permission","الصلاحية",,"resources\views\UserEtablissement.xml:21"
"Phone","Téléphone",,"resources\domains\User.xml:9"
"Preferences","الملف الشخصي",,"resources\views\User.xml:39
resources\views\User.xml:7"
"Préférences","الملف الشخصي",,"resources\views\Menu.xml:61"
"Role Ecrir","الكتابة",,"resources\domains\RoleDescribe.xml:13"
"Role Lir","القراءة",,"resources\domains\RoleDescribe.xml:12"
"Role Supprimer","الجدف",,"resources\domains\RoleDescribe.xml:14"
"RoleDescribe","الصلاحية",,"resources\views\RoleDescribe.xml:15
resources\views\RoleDescribe.xml:6"
"Répétez votre mot de passe","اعادة كلمة المرور",,"resources\views\Register.xml:37"
"Save","حفظ",,"resources\views\RegistreObservation.xml:22"
"Suivant","التالي",,"resources\views\Register.xml:16
resources\views\Register.xml:39"
"Suivi Etablissements",,,"resources\views\Etablissement.xml:8"
"Sujet","الموضوع",,"resources\domains\RegistreObservation.xml:12"
"Supprime","حذف",,"resources\views\UserEtablissement.xml:30
resources\views\UserEtablissement.xml:9"
"Supprimer","حذف",,"resources\domains\UserEtablissementRole.xml:12"
"Sélectionnez une établissement","اختر مؤسسة",,"resources\views\User.xml:41"
"TABLES CLASSIFICATION","جداول التصنيف",,"resources\views\Menu.xml:6"
"Tapez le code  D'activation",,,"resources\views\Register.xml:31"
"Tapez votre mot de passe",,,"resources\views\Register.xml:34"
"Tel","الهاتف",,"resources\views\User.xml:69"
"Telephone","الهاتف",,"resources\domains\Etablissement.xml:21
resources\domains\RegistreObservation.xml:11"
"Templating can not be empty",,,"java\com\setting\service\report\IExceptionMessage.java:19"
"Test register",,,"resources\views\Menu.xml:52"
"The parameter copyNumber should be superior to 0.",,,"java\com\setting\service\report\IExceptionMessage.java:25"
"This field needs to be unique.",,,"java\com\setting\service\report\IExceptionMessage.java:21"
"Type d'etablissemnt","نوع المؤسسة",,"resources\views\User.xml:71"
"Type etablissemnt","نوع المؤسسة",,"resources\domains\Etablissement.xml:16"
"Type Établissement","نوع المؤسسة",,"resources\views\Etablissement.xml:105"
"Typse sexe","نوع الجنس",,"resources\views\Sexe.xml:11
resources\views\Sexe.xml:6"
"Url %s is malformed.",,,"java\com\setting\service\report\IExceptionMessage.java:12"
"User preferences","خيارات المستخدم",,"resources\views\User.xml:40
resources\views\User.xml:8"
"UserEtablissementRole","صلاحيات  المؤسسة",,"resources\views\UserEtablissementRole.xml:6"
"UsersEtablissement","مستخدمي المؤسسة",,"resources\views\UserEtablissement.xml:27
resources\views\UserEtablissement.xml:33
resources\views\UserEtablissement.xml:6"
"Ville","المدينة",,"resources\domains\RegistreObservation.xml:9"
"Votre email est invalide","الاكيل غير صحيح ",,"resources\views\Register.xml:19"
"Years in 360 days","سنة في 360 يوم ",,"java\com\setting\service\report\IExceptionMessage.java:6"
"accepter","السماح",,"resources\domains\EtablissementLiaison.xml:9"
"afficher Aprés Midi","عرض  بعد الزوال",,"resources\domains\ListContraint.xml:18"
"afficher Dtae Exam","عرض تاريخ الاختبار",,"resources\domains\ListContraint.xml:19"
"afficher Fillier","عرض المسلك",,"resources\domains\ListContraint.xml:16"
"afficher Matiere","عرض المادة",,"resources\domains\ListContraint.xml:15"
"afficher Matin","عرض الصباح",,"resources\domains\ListContraint.xml:17"
"afficher Salle","عرض القاعات",,"resources\domains\ListContraint.xml:14"
"afficher Valeur","عرض القيمة",,"resources\domains\ListContraint.xml:12"
