cd;nameFr;nameAr
0433;Conception du produit audio-visuel ;تصميم المنتوج السمعي البصري 
0434;Histoire de l’art ;تاريخ الفن
0435;Infographie;الأنفوغرافيا
0436;Modes de télédiffusion et maintenance;طرق البث التلفزي والصيانة
0437;Techniques des moyens audiovisuels  ;تقنيات وسائل السمعي البصري 
0438;Bureautique;المكتبية
0439;Gestion comptable et financière ;التسيير المحاسباتي والمالي
0440;Atelier métier ;ورشة العمل المهني
0441;Etude de cas : Economie-Droit et Géographie du Tourisme ;دراسة الحالات: الاقتصاد والقانون والجغرافية السياحية 
0442;Action touristique commerciale ;العمل السياحي التجاري
0443;Management et contrôle de gestion des unités touristiques ;تدبير ومراقبة تسيير الوحدات السياحية
0444;Techniques des sciences industrielles ;تقنيات العلوم الصناعية
0445;Epreuve Technico-commerciale ;الاختبار التقنو - تجاري
0446;Management  des activités technico-commerciales ;تدبير الأنشطة التقنو - تجارية
0447;Production des documents comptables et financiers;إنتاج الوثائق المحاسباتية والمالية
0448;"Analyse des documents financiers; analyse et contrôle des coûts ";تحليل الوثائق المالية وتحليل ومراقبة الكلفة
0449;Activités professionnelles de synthèse;الأنشطة المهنية التركيبية
0450;Communication commercial;التواصل التجاري
0451;Management commercial;التدبير التجاري
0452;Présentation de projets commerciaux;تقديم المشاريع التجارية
0453;Épreuve de synthèse de gestion ;الاختبار التركيبي للتدبير
0454;Activités professionnelles appliquées;الأنشطة المهنية التطبيقية
0455;Motorisation et commande des systèmes industriels;محركة وتحكم المناظم الصناعية
0456;Modélisation  et comportement des systèmes industriels; Analyse et spécifications du produit industriel;دراسة ونمذجة المناظم الصناعية؛ تحليل وتحديد المنتوج الصناعي
0457;Systèmes automatisés de production;المناظم التلقائية للإنتاج
0458;Gestion de production et qualité;تدبير الإنتاج والجودة
0459;Etude et analyse de pré-industrialisation des produits mécaniques;دراسة وتحليل ما قبل التصنيع للمنتوجات الميكانيكية
0460;Processus et procédés d’industrialisation des produits mécaniques;صيرورة تصنيع المنتوجات الميكانيكية
0461;Préparation et conduite de chantier;تحضير وتتبع الورش
0462;Production des documents graphiques;إنتاج الوثائق المبيانية
0463;Techniques de réalisation et de mise en œuvre des ouvrages;تقنيات إنجاز الأوراش
0464;Calcul des éléments de la structure;حساب مكونات البناء
0465;Quantification et estimation des ouvrages;تقييم وتقدير الأوراش
0466;Travaux de laboratoire;أشغال المختبر
0467;Topographie;المسح الطبوغرافي
0468;"Analyse; représentation et comportement des systèmes";نمذجة ورسم المناظم و دراسة المناظم
0469;Productique;الإنتاجياتية
0470;Commande des systèmes industriels; التحكم في المناظم الصناعية
0471;Motorisation des systèmes industriels;المناظم الصناعية محركة 
0472;Conception d’outillage et CAO ;ابتكار المعدات و CAO
0473;Gestion et suivi de la production;تنظيم وتتبع الإنتاج
0474;Synthèse des matériaux;استخلاص المواد
0475;Processus d’industrialisation ;صيرورة التصنيع
0476;Etude des comportements des systèmes énergétiques;دراسة المناظم الطاقية
0477;Analyse des systèmes énergétiques et de ses équipements;تحليل المناظم الطاقية وتجهيزاتها
0478;Mise en œuvre des procédures d’intervention ;تطبيق إجراءات التدخل
0479;Analyse fonctionnelle et structurelle des mécanismes;التحليل الوظيفي والبنيوي للميكانيزمات
0480;Automatique;التلقائي
0481;Génie électrique;الهندسة الكهربائية
0482;Méthodes de maintenance;طرق الصيانة
0483;Diagnostic  des systèmes industriels;تشخيص المناظم الصناعية
0484;Sciences des matériaux;علوم المواد
0485;Préparation et industrialisation du produit industriel;تهيئة وتصنيع المنتج الصناعي
0486;Etude du comportement des systèmes motorisés;دراسة الأنظمة ذات المحرك
0487;Analyse des systèmes motorisés et organisation de leur maintenance;تحليل الأنظمة ذات المحرك وطرق صيانتها
0488;Travaux pratiques de maintenance;الأشغال التطبيقية في الصيانة
0489;Projet de fin de formation;مناقشة مشروع نهاية التكوين
0490;Projet industriel;مناقشة المشروع الصناعي
0491;Rapport de Stage;مناقشة تقرير التدريب
0492;Environnement économique et juridique de l'entreprise;المحيط الافتصادي و الفانوني للمقاولة
0493;Génie thermique;الهندسة الحرارية
0494;Gestion contrôle et suivi de production ;تنظيم و مراقبة و تتبع الانتاج
